project_id,lab_id,unique_subject_identifier,method,age_days,age_group_new,participant_sex,stimulus_type,trial_type,trial_number,stimulus_id,habituation,looking_time,household_size,parent1_education,parent2_education,participant_place_of_birth,race,primarycaregiver_gender,language_group,primary_language,primary_language_exposure,caregiver_seat,second_session,lookingtime_freezeframe
MB1,babylabbrookes,MB1_babylabbrookes_mb07,singlescreen,493,15–18 months,M,audiovisual,TRAIN,-2,MB1_TRAIN_-1,FALSE,11.21,NA,12,16,NA,NA,F,monolingual,English,100,caregiver_lap_only,FALSE,NA
MB1,babylabbrookes,MB1_babylabbrookes_mb07,singlescreen,493,15–18 months,M,audiovisual,TRAIN,-1,MB1_TRAIN_-1,FALSE,4.57,NA,12,16,NA,NA,F,monolingual,English,100,caregiver_lap_only,FALSE,NA
MB1,babylabbrookes,MB1_babylabbrookes_mb07,singlescreen,493,15–18 months,M,audiovisual,IDS,1,MB1_IDS_5,TRUE,9.35,NA,12,16,NA,NA,F,monolingual,English,100,caregiver_lap_only,FALSE,NA
MB1,babylabbrookes,MB1_babylabbrookes_mb07,singlescreen,493,15–18 months,M,audiovisual,ADS,2,MB1_ADS_5,TRUE,8.18,NA,12,16,NA,NA,F,monolingual,English,100,caregiver_lap_only,FALSE,NA
MB1,babylabbrookes,MB1_babylabbrookes_mb07,singlescreen,493,15–18 months,M,audiovisual,ADS,3,MB1_ADS_7,TRUE,5.58,NA,12,16,NA,NA,F,monolingual,English,100,caregiver_lap_only,FALSE,NA
MB1,babylabbrookes,MB1_babylabbrookes_mb07,singlescreen,493,15–18 months,M,audiovisual,IDS,4,MB1_IDS_7,TRUE,8.94,NA,12,16,NA,NA,F,monolingual,English,100,caregiver_lap_only,FALSE,NA
MB1,babylabbrookes,MB1_babylabbrookes_mb07,singlescreen,493,15–18 months,M,audiovisual,ADS,5,MB1_ADS_1,TRUE,18,NA,12,16,NA,NA,F,monolingual,English,100,caregiver_lap_only,FALSE,NA
MB1,babylabbrookes,MB1_babylabbrookes_mb07,singlescreen,493,15–18 months,M,audiovisual,IDS,6,MB1_IDS_1,TRUE,14.58,NA,12,16,NA,NA,F,monolingual,English,100,caregiver_lap_only,FALSE,NA
MB1,babylabbrookes,MB1_babylabbrookes_mb07,singlescreen,493,15–18 months,M,audiovisual,ADS,7,MB1_ADS_3,TRUE,8.72,NA,12,16,NA,NA,F,monolingual,English,100,caregiver_lap_only,FALSE,NA
MB1,babylabbrookes,MB1_babylabbrookes_mb07,singlescreen,493,15–18 months,M,audiovisual,IDS,8,MB1_IDS_3,TRUE,5.95,NA,12,16,NA,NA,F,monolingual,English,100,caregiver_lap_only,FALSE,NA
